score	insns	calls	indirect	branches	dispatch	cop1	cop2	distinct_mem	kind	addr	demangled	file
-8.1	2	0	0	0	0	1	0	0	accessor	0x3e9388	MicNull::GetEarpieceVolume()	GetEarpieceVolume__C7MicNull_0x3e9388.cpp
-8.1	2	0	0	0	0	1	0	0	accessor	0x3eb0c0	StreamNull::GetFileLength()	GetFileLength__C10StreamNull_0x3eb0c0.cpp
-8.1	2	0	0	0	0	1	0	0	accessor	0x3eb0b0	StreamNull::GetFilePos()	GetFilePos__C10StreamNull_0x3eb0b0.cpp
-8.1	2	0	0	0	0	1	0	0	accessor	0x3e9360	MicNull::GetGain()	GetGain__C7MicNull_0x3e9360.cpp
-8.1	2	0	0	0	0	1	0	0	accessor	0x3e9168	Synth::GetMicVolume()	GetMicVolume__C5Synth_0x3e9168.cpp
-8.1	2	0	0	0	0	1	0	0	accessor	0x3eacb0	SampleInst::GetProgress()	GetProgress__10SampleInst_0x3eacb0.cpp
-8.1	2	0	0	0	0	1	0	0	accessor	0x3e9958	SynthSample::LengthMs()	LengthMs__C11SynthSample_0x3e9958.cpp
-7.85	3	0	0	0	0	0	0	1	accessor	0x2fcf88	DataArray::SetFile(?)	SetFile__9DataArrayG6Symbol_0x2fcf88.cpp
-7.85	3	0	0	0	0	0	0	1	accessor	0x1b8968	CharBonesSamples::SetVer(int)	SetVer__16CharBonesSamplesi_0x1b8968.cpp
-7.8	2	0	0	0	0	0	0	0	accessor	0x2f3888	GetConfigExt(void)	GetConfigExt__Fv_0x2f3888.cpp
-7.7	2	0	0	0	0	0	0	1	accessor	0x258740	FaderGroup::ClearDirty()	ClearDirty__10FaderGroup_0x258740.cpp
-7.7	2	0	0	0	0	0	0	1	accessor	0x323060	BlockStatTable::Clear()	Clear__14BlockStatTable_0x323060.cpp
-7.7	2	0	0	0	0	0	0	1	accessor	0x1467b8	TutorialPanel::DataDir()	DataDir__13TutorialPanel_0x1467b8.cpp
-7.7	2	0	0	0	0	0	0	1	accessor	0x257690	ADSR::GetAttackMode()	GetAttackMode__C4ADSR_0x257690.cpp
-7.7	2	0	0	0	0	0	0	1	accessor	0x1125a8	PerformerGroup::GetBand()	GetBand__C14PerformerGroup_0x1125a8.cpp
-7.7	2	0	0	0	0	0	0	1	accessor	0x2972d8	OC3Ent::Face::FxClass::GetBaseClassDesc()	GetBaseClassDesc__CQ36OC3Ent4Face7FxClass_0x2972d8.cpp
-7.7	2	0	0	0	0	0	0	1	accessor	0x295800	OC3Ent::Face::FxArchive::GetByteOrder()	GetByteOrder__Q36OC3Ent4Face9FxArchive_0x295800.cpp
-7.7	2	0	0	0	0	0	0	1	accessor	0x110eb8	Performer::GetCurrentStreak()	GetCurrentStreak__C9Performer_0x110eb8.cpp
-7.7	2	0	0	0	0	0	0	1	accessor	0x2972d0	OC3Ent::Face::FxClass::GetCurrentVersion()	GetCurrentVersion__CQ36OC3Ent4Face7FxClass_0x2972d0.cpp
